Photinus indictus (NCC Ent 9),,,,,,,,,
Specimen,Species,Filename,Measurement_type,Location,Sensillum_type,Olfactory_type,Value,Label on image,Comments
NCC Ent 9,Photinus indictus,Photinus_indictis_f4_L.tif,sensillum length,F4,mechano,NA,61.918,blue 3,
NCC Ent 9,Photinus indictus,Photinus_indictis_f4_L.tif,sensillum length,F4,mechano,NA,22.525,blue 4,
NCC Ent 9,Photinus indictus,Photinus_indictis_f4_L.tif,sensillum length,F4,mechano,NA,31.545,blue 5,
NCC Ent 9,Photinus indictus,Photinus_indictis_f4_L.tif,sensillum length,F4,olfactory,trichoid,11.716,red 1,
NCC Ent 9,Photinus indictus,Photinus_indictis_f4_L.tif,sensillum length,F4,olfactory,trichoid,12.137,red 2,
NCC Ent 9,Photinus indictus,Photinus_indictis_f4_L.tif,sensillum length,F4,olfactory,trichoid,9.568,red 3,
NCC Ent 9,Photinus indictus,Photinus_indictis_f4_L.tif,sensillum length,F4,olfactory,trichoid,11.513,red 4,
NCC Ent 9,Photinus indictus,Photinus_indictis_f4_L.tif,sensillum length,F4,olfactory,basiconica,8.829,red 5,
NCC Ent 9,Photinus indictus,Photinus_indictis_f4_W.tif,sensillum width prox,F4,mechano,NA,3.295,blue 1A,
NCC Ent 9,Photinus indictus,Photinus_indictis_f4_W.tif,sensillum width med,F4,mechano,NA,2.009,blue 1B,
NCC Ent 9,Photinus indictus,Photinus_indictis_f4_W.tif,sensillum width dis,F4,mechano,NA,0.459,blue 1C,
NCC Ent 9,Photinus indictus,Photinus_indictis_f4_W.tif,sensillum width prox,F4,mechano,NA,2.241,blue 2A,
NCC Ent 9,Photinus indictus,Photinus_indictis_f4_W.tif,sensillum width med,F4,mechano,NA,1.637,blue 2B,
NCC Ent 9,Photinus indictus,Photinus_indictis_f4_W.tif,sensillum width dis,F4,mechano,NA,0.769,blue 2C,
NCC Ent 9,Photinus indictus,Photinus_indictis_f4_W.tif,sensillum width prox,F4,mechano,NA,2.417,blue 3A,
NCC Ent 9,Photinus indictus,Photinus_indictis_f4_W.tif,sensillum width med,F4,mechano,NA,1.159,blue 3B,
