"specimen","species","signal","sex","body_length","location","sensillum_type","olfactory_type","mean_dists","density","fraction","counts"
"BPC 1","Photinus macdermotti","visual",NA,NA,"F7","olfactory",NA,28.4985321915316,0.0016222941372935,0.349593495934959,25
"BPC 1","Photinus macdermotti","visual",NA,NA,"F7","all",NA,19.343125701101,0.0046405157880721,1,123
"BPC 1","Photinus macdermotti","visual",NA,NA,"F8","mechano",NA,22.8360399995178,0.00343513007845061,0.718181818181818,79
"BPC 1","Photinus macdermotti","visual",NA,NA,"F8","hygro-thermo",NA,41.988739160694,0.000260895955325363,0.0545454545454545,6
"BPC 1","Photinus macdermotti","visual",NA,NA,"F8","olfactory","trichoid",44.0200637736683,0.000695722547534302,0.8,16
"BPC 1","Photinus macdermotti","visual",NA,NA,"F8","olfactory","basiconica",27.7266775003879,0.000173930636883575,0.2,4
"BPC 1","Photinus macdermotti","visual",NA,NA,"F8","olfactory","capitular",NA,NA,0,0
"BPC 1","Photinus macdermotti","visual",NA,NA,"F8","olfactory",NA,36.45158513228,0.00108706648052235,0.227272727272727,20
"BPC 1","Photinus macdermotti","visual",NA,NA,"F8","all",NA,19.2414804651186,0.00478309251429832,1,110
"BPC 1","Photinus macdermotti","visual",NA,NA,"F9","mechano",NA,24.006553732227,0.00320636625057302,0.777777777777778,105
"BPC 1","Photinus macdermotti","visual",NA,NA,"F9","hygro-thermo",NA,NA,NA,NA,0
"BPC 1","Photinus macdermotti","visual",NA,NA,"F9","olfactory","trichoid",62.3869454634402,0.000366441857208345,1,12
"BPC 1","Photinus macdermotti","visual",NA,NA,"F9","olfactory","basiconica",NA,NA,0,0
"BPC 1","Photinus macdermotti","visual",NA,NA,"F9","olfactory","capitular",NA,NA,0,0
"BPC 1","Photinus macdermotti","visual",NA,NA,"F9","olfactory",NA,41.9861024270459,0.000916104643020863,0.222222222222222,12
"BPC 1","Photinus macdermotti","visual",NA,NA,"F9","all",NA,21.0171569283726,0.00412247089359388,1,135
"BPC 1","Photinus macdermotti","visual",NA,NA,"F10","mechano",NA,NA,NA,NA,NA
"BPC 1","Photinus macdermotti","visual",NA,NA,"F10","hygro-thermo",NA,NA,NA,NA,NA
"BPC 1","Photinus macdermotti","visual",NA,NA,"F10","olfactory","trichoid",NA,NA,NA,NA
"BPC 1","Photinus macdermotti","visual",NA,NA,"F10","olfactory","basiconica",NA,NA,NA,NA
"BPC 1","Photinus macdermotti","visual",NA,NA,"F10","olfactory","capitular",NA,NA,NA,NA
"BPC 1","Photinus macdermotti","visual",NA,NA,"F10","olfactory",NA,NA,NA,NA,NA
"BPC 1","Photinus macdermotti","visual",NA,NA,"F10","all",NA,NA,NA,NA,NA
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F1","mechano",NA,NA,NA,NA,NA
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F1","hygro-thermo",NA,NA,NA,NA,NA
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F1","olfactory","trichoid",NA,NA,NA,NA
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F1","olfactory","basiconica",NA,NA,NA,NA
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F1","olfactory","capitular",NA,NA,NA,NA
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F1","olfactory",NA,NA,NA,NA,NA
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F1","all",NA,NA,NA,NA,NA
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F2","mechano",NA,NA,NA,NA,NA
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F2","hygro-thermo",NA,NA,NA,NA,NA
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F2","olfactory","trichoid",NA,NA,NA,NA
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F2","olfactory","basiconica",NA,NA,NA,NA
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F2","olfactory","capitular",NA,NA,NA,NA
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F2","olfactory",NA,NA,NA,NA,NA
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F2","all",NA,NA,NA,NA,NA
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F3","mechano",NA,39.3923773682603,0.0011173104163367,0.507246376811594,35
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F3","hygro-thermo",NA,NA,NA,NA,0
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F3","olfactory","trichoid",42.4060149975333,0.00108538726158422,1,34
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F3","olfactory","basiconica",NA,NA,0,0
