Photo,Specimen,Species,Location,Sensillum_type,Olfactory_type,x,y,Number,Comments,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,olfactory,trichoid,15.484,83.656,6,pink,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,olfactory,basiconica,13.978,121.935,7,pink,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,olfactory,basiconica,39.355,127.312,8,pink,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,olfactory,basiconica,38.925,98.495,9,pink,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,olfactory,trichoid,44.731,67.957,10,pink,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,olfactory,basiconica,54.409,40.43,11,pink,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,olfactory,basiconica,41.72,31.613,12,pink,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,olfactory,basiconica,38.064,2.796,13,pink,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,olfactory,basiconica,64.301,12.688,14,pink,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,olfactory,basiconica,99.14,36.344,15,pink,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,olfactory,basiconica,78.71,47.312,16,pink,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,olfactory,basiconica,83.871,71.613,17,pink,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,olfactory,trichoid,62.15,75.484,18,pink,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,olfactory,basiconica,59.57,97.634,19,pink,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,olfactory,trichoid,26.237,136.774,20,pink,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,olfactory,basiconica,48.172,142.15,21,pink,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,olfactory,basiconica,62.15,128.387,22,pink,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,olfactory,trichoid,73.548,109.462,23,pink,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,olfactory,trichoid,96.989,11.613,24,pink,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,olfactory,trichoid,108.602,6.667,25,pink,,,,,,,,,,,,,,,,,,
