Photo,Specimen,Species,Location,Sensillum_type,Olfactory_type,x,y,Number,Comments,,,,,,,,,,,,,,,,,,
Pyractomena angulata F2.tif,LACM Ent 574187,Pyractomena angulata,F2,mechano,NA,504.5,442.5,26,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F2.tif,LACM Ent 574187,Pyractomena angulata,F2,mechano,NA,542,424,27,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F3.tif,LACM Ent 574187,Pyractomena angulata,F3,mechano,NA,309.868,133.553,1,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F3.tif,LACM Ent 574187,Pyractomena angulata,F3,mechano,NA,353.618,137.39,2,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F3.tif,LACM Ent 574187,Pyractomena angulata,F3,mechano,NA,368.969,157.566,3,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F3.tif,LACM Ent 574187,Pyractomena angulata,F3,mechano,NA,408.443,171.162,4,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F3.tif,LACM Ent 574187,Pyractomena angulata,F3,mechano,NA,300.548,168.092,5,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F3.tif,LACM Ent 574187,Pyractomena angulata,F3,mechano,NA,326.425,152.303,6,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F3.tif,LACM Ent 574187,Pyractomena angulata,F3,mechano,NA,321.162,187.39,7,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F3.tif,LACM Ent 574187,Pyractomena angulata,F3,mechano,NA,339.583,190.46,8,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F3.tif,LACM Ent 574187,Pyractomena angulata,F3,mechano,NA,370.285,208.443,9,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F3.tif,LACM Ent 574187,Pyractomena angulata,F3,mechano,NA,392.215,189.145,10,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F3.tif,LACM Ent 574187,Pyractomena angulata,F3,mechano,NA,412.39,198.355,11,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F3.tif,LACM Ent 574187,Pyractomena angulata,F3,mechano,NA,293.969,208.443,12,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F3.tif,LACM Ent 574187,Pyractomena angulata,F3,mechano,NA,335.636,225.548,13,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F3.tif,LACM Ent 574187,Pyractomena angulata,F3,mechano,NA,364.583,243.531,14,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F3.tif,LACM Ent 574187,Pyractomena angulata,F3,mechano,NA,378.618,256.25,15,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F3.tif,LACM Ent 574187,Pyractomena angulata,F3,mechano,NA,397.039,242.653,16,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F3.tif,LACM Ent 574187,Pyractomena angulata,F3,mechano,NA,415.46,227.302,17,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F3.tif,LACM Ent 574187,Pyractomena angulata,F3,mechano,NA,413.706,248.355,18,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F3.tif,LACM Ent 574187,Pyractomena angulata,F3,olfactory,trichoid,328.618,131.689,1,pink,,,,,,,,,,,,,,,,,,
Pyractomena angulata F3.tif,LACM Ent 574187,Pyractomena angulata,F3,olfactory,trichoid,402.302,153.18,2,pink,,,,,,,,,,,,,,,,,,
