Photo,Specimen,Species,Location,Sensillum_type,Olfactory_type,x,y,Number,Comments
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,41.797,261.344,1,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,44.718,277.748,2,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,68.314,279.546,3,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,112.358,286.512,4,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,142.02,276.4,5,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,124.942,293.254,6,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,70.336,254.153,7,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,59.55,238.198,8,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,34.381,253.03,9,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,82.695,214.828,10,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,164.267,222.693,11,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,141.346,220.446,12,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,133.706,211.008,13,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,117.976,207.188,14,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,197.974,205.615,15,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,201.57,208.311,16,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,193.255,247.412,17,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,164.717,274.153,18,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,207.862,171.458,19,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,116.627,201.12,20,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,243.816,242.019,21,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,221.57,240.67,22,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,241.794,227.637,23,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,219.772,221.345,24,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,297.523,202.244,25,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,309.209,211.008,26,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,237.524,189.21,27,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,259.097,165.615,28,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,282.018,150.11,29,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,288.984,156.627,30,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,313.928,145.616,31,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,253.704,151.458,32,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,235.727,159.997,33,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,235.052,141.796,34,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,216.851,144.942,35,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,196.401,167.638,36,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,271.007,109.661,37,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,285.838,115.729,38,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,303.591,126.74,39,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,306.063,97.751,40,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,333.028,136.402,41,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,340.219,190.334,42,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,343.141,161.121,43,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,364.489,162.469,44,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,404.039,125.616,45,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,416.398,103.594,46,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,347.86,130.11,47,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,355.949,125.841,48,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,390.331,109.886,49,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,407.634,89.212,50,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,384.713,92.583,51,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,362.916,98.425,52,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,341.343,111.684,53,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,322.017,107.639,54,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,364.264,68.538,55,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,382.691,50.786,56,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,418.42,59.774,57,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,345.613,43.37,58,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,379.545,164.492,59,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,400.443,139.548,60,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,442.914,55.954,61,yellow
Photinus pyralis1 f1_xy.tif,NCC Ent 7,Photinus pyralis,F1,mechano,NA,434.375,112.133,62,yellow
