Photo,Specimen,Species,Location,Sensillum_type,Olfactory_type,x,y,Number,Comments,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,olfactory,trichoid,305.429,116.286,15,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,olfactory,trichoid,206.571,181.714,16,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,olfactory,trichoid,223.714,172.571,17,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,olfactory,trichoid,259.143,153.714,18,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,olfactory,trichoid,292.857,142.286,19,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,olfactory,trichoid,311.143,152.571,20,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,olfactory,trichoid,204,206.571,21,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,olfactory,trichoid,224,202.857,22,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,olfactory,trichoid,238.286,186,23,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,olfactory,trichoid,262.857,180.286,24,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,olfactory,trichoid,277.714,161.714,25,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,olfactory,trichoid,306.857,176.286,26,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,olfactory,trichoid,330,181.143,27,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,olfactory,trichoid,346,177.714,28,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,olfactory,trichoid,212,230.571,29,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,olfactory,trichoid,254,232,30,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,olfactory,trichoid,276,211.143,31,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,olfactory,trichoid,307.714,201.714,32,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,olfactory,trichoid,248.286,255.714,33,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,olfactory,trichoid,314.286,234.286,34,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,olfactory,trichoid,340,214.571,35,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,olfactory,trichoid,246.286,273.714,36,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,olfactory,trichoid,310.286,256.571,37,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,olfactory,trichoid,338.571,239.429,38,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,mechano,NA,507,240,1,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,mechano,NA,626.167,237.5,2,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,mechano,NA,324.833,319.5,3,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,mechano,NA,494.833,320.833,4,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,mechano,NA,653.5,316.833,5,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,mechano,NA,358.833,389.5,6,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,mechano,NA,390.167,424.833,7,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,mechano,NA,445.5,419.5,8,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,mechano,NA,496.833,407.5,9,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,mechano,NA,557.5,354.833,10,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,mechano,NA,613.5,386.833,11,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,mechano,NA,658.833,406.833,12,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,mechano,NA,394.833,505.5,13,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,mechano,NA,436.167,462.167,14,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,mechano,NA,564.167,444.167,15,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,mechano,NA,474.167,520.833,16,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,mechano,NA,527.5,550.167,17,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,mechano,NA,577.5,532.833,18,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,mechano,NA,602.167,490.167,19,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,mechano,NA,634.167,452.167,20,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,mechano,NA,678.167,445.5,21,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,olfactory,trichoid,394,234,1,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,olfactory,trichoid,433.5,184.167,2,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,olfactory,trichoid,448.833,204.167,3,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,olfactory,trichoid,502.833,163.5,4,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,olfactory,trichoid,535.5,156.833,5,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,olfactory,trichoid,554.167,236.167,6,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,olfactory,NA,586.167,209.5,7,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,olfactory,trichoid,594.833,250.167,8,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,olfactory,trichoid,404.167,276.167,9,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,olfactory,trichoid,361.5,310.833,10,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,olfactory,trichoid,380.167,303.5,11,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,olfactory,trichoid,422.167,308.833,12,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,olfactory,trichoid,448.833,314.833,13,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,olfactory,trichoid,534.167,308.167,14,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,olfactory,trichoid,589.5,295.5,15,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,olfactory,trichoid,621.5,287.5,16,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,olfactory,trichoid,362.833,354.167,17,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,olfactory,trichoid,387.5,356.167,18,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,olfactory,trichoid,427.5,346.833,19,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,olfactory,trichoid,472.167,342.833,20,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,olfactory,trichoid,521.5,350.833,21,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,olfactory,trichoid,583.5,333.5,22,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,olfactory,trichoid,380.167,382.833,23,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,olfactory,trichoid,412.833,372.833,24,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,olfactory,trichoid,448.833,371.5,25,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,olfactory,trichoid,412.167,404.833,26,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,olfactory,trichoid,466.833,394.833,27,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,olfactory,trichoid,526.833,412.833,28,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,olfactory,trichoid,540.167,384.167,29,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,olfactory,trichoid,580.833,388.167,30,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,olfactory,trichoid,648.167,362.167,31,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,olfactory,trichoid,451.5,450.167,32,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,olfactory,trichoid,520.167,445.5,33,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,olfactory,trichoid,595.5,424.833,34,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f2.tif,LACM Ent 574188,Phausis reticulata,F2,olfactory,trichoid,623.5,412.833,35,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f3.tif,LACM Ent 574188,Phausis reticulata,F3,mechano,NA,354,261,1,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f3.tif,LACM Ent 574188,Phausis reticulata,F3,mechano,NA,399.5,235.833,2,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f3.tif,LACM Ent 574188,Phausis reticulata,F3,mechano,NA,425.5,191.833,3,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f3.tif,LACM Ent 574188,Phausis reticulata,F3,mechano,NA,486.167,177.167,4,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f3.tif,LACM Ent 574188,Phausis reticulata,F3,mechano,NA,393.5,287.167,5,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f3.tif,LACM Ent 574188,Phausis reticulata,F3,mechano,NA,454.167,312.5,6,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f3.tif,LACM Ent 574188,Phausis reticulata,F3,mechano,NA,518.833,229.833,7,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f3.tif,LACM Ent 574188,Phausis reticulata,F3,mechano,NA,521.5,298.5,8,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f3.tif,LACM Ent 574188,Phausis reticulata,F3,mechano,NA,426.833,349.833,9,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f3.tif,LACM Ent 574188,Phausis reticulata,F3,mechano,NA,419.5,429.167,10,yellow,,,,,,,,,,,,,,,,,,
