Photo,Specimen,Species,Location,Sensillum_type,Olfactory_type,x,y,Number,Comments,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,222.419,129.171,40,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,230.827,143.948,41,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,240.254,112.101,42,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,232.101,108.025,43,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,218.852,172.738,44,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,232.865,176.56,45,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,212.228,149.808,46,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,210.445,176.56,47,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,212.738,197.961,48,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,220.126,119.999,49,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,218.088,102.675,50,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,226.241,97.834,51,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,275.158,102.165,52,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,250.445,97.834,53,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,256.05,67.516,54,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,251.718,63.439,55,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,231.846,63.439,56,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,216.559,74.395,57,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,227.005,69.809,58,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,293.502,146.751,59,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,310.062,96.56,60,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,318.47,77.197,61,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,306.24,71.082,62,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,291.973,126.369,63,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,329.935,73.121,64,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,335.285,76.942,65,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,308.024,35.414,66,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,291.463,43.057,67,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,273.12,30.573,68,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,276.941,39.235,69,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,268.534,50.955,70,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,248.406,32.611,71,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,242.547,29.809,72,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,224.712,44.841,73,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,218.852,65.477,74,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,245.349,84.076,75,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,329.68,47.388,76,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,324.839,93.248,77,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,307.005,119.999,78,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,308.024,142.929,79,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,296.304,161.528,80,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,305.476,152.356,81,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,254.776,151.082,82,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,240.254,152.356,83,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,210.7,143.439,84,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,194.909,175.03,85,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,201.697,189.576,86,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,201.697,205.576,87,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,230.788,225.454,88,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,245.636,225.454,89,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,244.545,244,90,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,olfactory,NA,270.572,234.394,1,pink,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,olfactory,trichoid,264.967,144.967,2,pink,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,olfactory,trichoid,249.171,138.088,3,pink,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,olfactory,trichoid,241.782,127.897,4,pink,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,olfactory,NA,231.082,190.572,5,pink,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,olfactory,NA,269.553,213.247,6,pink,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,olfactory,trichoid,283.056,151.846,7,pink,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,olfactory,basiconica,285.094,89.681,8,pink,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,olfactory,basiconica,274.139,80.764,9,pink,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,olfactory,trichoid,295.54,67.006,10,pink,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,olfactory,trichoid,300.89,58.853,11,pink,,,,,,,,,,,,,,,,,,
