Photo,Specimen,Species,Location,Sensillum_type,Olfactory_type,x,y,Number,Comments,,,,,,,,,,,,,,,,,,
Pyropyga nigricans F1_xy.tif,LACM Ent 574184,Pyropyga nigricans,F1,olfactory,basiconica,540.789,468.14,2,2 (pink),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F1_xy.tif,LACM Ent 574184,Pyropyga nigricans,F1,olfactory,basiconica,493.108,493.281,3,3 (pink),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F2L_xy.tif,LACM Ent 574184,Pyropyga nigricans,F2,mechano,NA,282.243,152.727,1,1 (yellow),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F2L_xy.tif,LACM Ent 574184,Pyropyga nigricans,F2,mechano,NA,254.39,181.508,2,2 (yellow),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F2L_xy.tif,LACM Ent 574184,Pyropyga nigricans,F2,mechano,NA,269.245,61.276,3,3 (yellow),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F2L_xy.tif,LACM Ent 574184,Pyropyga nigricans,F2,mechano,NA,238.143,63.598,4,4 (yellow),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F2L_xy.tif,LACM Ent 574184,Pyropyga nigricans,F2,mechano,NA,250.677,23.675,5,5 (yellow),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F2L_xy.tif,LACM Ent 574184,Pyropyga nigricans,F2,mechano,NA,224.216,41.315,6,6 (yellow),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F2L_xy.tif,LACM Ent 574184,Pyropyga nigricans,F2,mechano,NA,198.684,52.921,7,7 (yellow),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F2L_xy.tif,LACM Ent 574184,Pyropyga nigricans,F2,mechano,NA,187.543,107.698,8,8 (yellow),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F2L_xy.tif,LACM Ent 574184,Pyropyga nigricans,F2,mechano,NA,178.259,173.152,9,9 (yellow),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F2L_xy.tif,LACM Ent 574184,Pyropyga nigricans,F2,mechano,NA,224.216,195.899,10,10 (yellow),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F2L_xy.tif,LACM Ent 574184,Pyropyga nigricans,F2,mechano,NA,265.531,264.139,11,11 (yellow),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F2L_xy.tif,LACM Ent 574184,Pyropyga nigricans,F2,mechano,NA,156.905,291.528,12,12 (yellow),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F2L_xy.tif,LACM Ent 574184,Pyropyga nigricans,F2,mechano,NA,209.361,265.996,13,13 (yellow),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F2L_xy.tif,LACM Ent 574184,Pyropyga nigricans,F2,mechano,NA,291.528,267.388,14,14 (yellow),,,,,,,,,,,,,,,,,,
